"STATE","DISTRICT","INCUMBENT INDICATOR","NAME","PARTY","PRIMARY RESULTS","RUNOFF RESULTS","GENERAL RESULTS","COMBINED PARTIES"
"CA","3.0","","Kent, Bob ","D","58250.0","","93067.0",""
"CA","3.0","","Tuma, Douglas Arthur ","LBT","4222.0","","5227.0",""
"CA","3.0","","Jones, Channing E. ","NL","2048.0","","2634.0",""
"CA","3.0","(I)","Ose, Doug ","R","101571.0","","129254.0",""
"CA","4.0","","Norberg, Mark A. ","D","63130.0","","97974.0",""
"CA","4.0","","Frey, William Fritz ","LBT","7020.0","","9494.0",""
"CA","4.0","","Ray, Robert E. ","NL","6393.0","","6452.0",""
"CA","4.0","(I)","Doolittle, John T. ","R","149735.0","","197503.0",""
"CA","5.0","(I)","Matsui, Robert T. ","D","112132.0","","147025.0",""
"CA","5.0","","Adams, Ken ","GRN","3428.0","","6195.0",""
"CA","5.0","","Lang, Cullene ","LBT","2815.0","","2919.0",""
"CA","5.0","","Kersey, Charles ","NL","1838.0","","1975.0",""
"CA","5.0","","Payne, Ken ","R","38158.0","","55945.0",""
"CA","6.0","(I)","Woolsey, Lynn ","D","135941.0","","182116.0",""
"CA","6.0","","Moscoso, Justin ""Justo"" ","GRN","4781.0","","13248.0",""
"CA","6.0","","Barton, Richard O. ","LBT","4043.0","","4691.0",""
"CA","6.0","","Barreca, Alan ","NL","2591.0","","2894.0",""
"CA","6.0","","McAuliffe, Ken ","R","57478.0","","80169.0",""
"CA","7.0","(I)","Miller, George ","D","98451.0","","159692.0",""
"CA","7.0","","Sproul, Martin ","NL","2792.0","","4943.0",""
"CA","7.0","","Hoffman, Christopher A. ","R","18926.0","","44154.0",""
"CA","7.0","","Mraovich, Nicholas ""Nick"" ","R","10503.0","","",""
"CA","8.0","(I)","Pelosi, Nancy ","D","109246.0","","181847.0",""
"CA","8.0","","Bauman, Erik ","LBT","3575.0","","5645.0",""
"CA","8.0","","Smithstein, David ","NL","1389.0","","2638.0",""
"CA","8.0","","Sparks, Adam ","R","13501.0","","25298.0",""
"CA","9.0","(I)","Lee, Barbara ","D","117173.0","","182352.0",""
"CA","9.0","","Foldvary, Fred E. ","LBT","4565.0","","7051.0",""
"CA","9.0","","Jefferds, Ellen ","NL","2333.0","","4214.0",""
"CA","9.0","","Washington, Arneze ","R","13563.0","","21033.0",""
"CA","10.0","(I)","Tauscher, Ellen O. ","D","110702.0","","160429.0",""
"CA","10.0","","Janlois, Valerie ","NL","5324.0","","9527.0",""
"CA","10.0","","Blake, Gordon ","R","30532.0","","",""
"CA","10.0","","Hutchison, Claude B. Jr.","R","36257.0","","134863.0",""
"CA","10.0","","Kilian, Dennis M. ","R","21039.0","","",""
"CA","11.0","","Figueroa, Robert L. ","D","19152.0","","",""
"CA","11.0","","Santos, Tom Y. ","D","30817.0","","79539.0",""
"CA","11.0","","Russow, Kathryn A. ","LBT","3273.0","","5036.0",""
"CA","11.0","","Kurey, Jon A. ","NL","2388.0","","3397.0",""
"CA","11.0","(I)","Pombo, Richard W. ","R","87160.0","","120635.0",""
"CA","12.0","(I)","Lantos, Tom ","D","103807.0","","158404.0",""
"CA","12.0","","Less, Barbara J. ","LBT","4098.0","","6431.0",""
"CA","12.0","","Young, Rifkin ","NL","1788.0","","3559.0",""
"CA","12.0","","Evans, Bob ","R","8274.0","","",""
"CA","12.0","","Garza, Mike ","R","14165.0","","44162.0",""
"CA","12.0","","Williams, James D. Jr.","R","7694.0","","",""
"CA","13.0","","Grundmann, Don J. ","AIP","1373.0","","2365.0",""
"CA","13.0","(I)","Stark, Fortney Pete ","D","77905.0","","129012.0",""
"CA","13.0","","Mora, Howard ","LBT","2421.0","","4623.0",""
"CA","13.0","","Hoehner, Timothy R. ","NL","1400.0","","2647.0",""
"CA","13.0","","Duffy, Saundra ","R","7736.0","","",""
"CA","13.0","","Goetz, James R. ""Jim"" ","R","22488.0","","44499.0",""
"CA","14.0","(I)","Eshoo, Anna G. ","D","111136.0","","161720.0",""
"CA","14.0","","Dehn, Joseph W. III","LBT","3193.0","","4715.0",""
"CA","14.0","","Black, John ","NL","2121.0","","4489.0",""
"CA","14.0","","Delue, Craig L. ","R","11662.0","","",""
"CA","14.0","","Manzler, Henry E. (Bud) ","R","11453.0","","",""
"CA","14.0","","Quraishi, Bill ","R","17817.0","","59338.0",""
"CA","15.0","","Honda, Mike ","D","62876.0","","128545.0",""
"CA","15.0","","Lane, Dick ","D","3968.0","","",""
"CA","15.0","","Parker, Robin ","D","3646.0","","",""
"CA","15.0","","Peacock, Bill ","D","22499.0","","",""
"CA","15.0","","Vlakancic, Connor ","D","1449.0","","",""
"CA","15.0","","Wimmers, Ed ","LBT","2566.0","","4820.0",""
"CA","15.0","","Gorney, Douglas C. ","NL","1350.0","","3591.0",""
"CA","15.0","","Cunneen, Jim ","R","53282.0","","99866.0",""
"CA","15.0","","Mead, Dale C. ","R","8638.0","","",""
"CA","15.0","","Kronzer, Phillip","W","","","82.0",""
"CA","16.0","(I)","Lofgren, Zoe ","D","72515.0","","115118.0",""
"CA","16.0","","Umphress, Dennis Michael ","LBT","2914.0","","4742.0",""
"CA","16.0","","Klein, Edward J. ","NL","1764.0","","2673.0",""
"CA","16.0","","Thayn, Horace ""Gene"" ","R","23652.0","","37213.0",""
"CA","17.0","","Dunn, Art ","D","2271.0","","",""
"CA","17.0","(I)","Farr, Sam ","D","83275.0","","143219.0",""
"CA","17.0","","Grossman, Joe ","D","8104.0","","",""
"CA","17.0","","Whitmore, Debra ","D","7661.0","","",""
"CA","17.0","","Coffin, E. Craig ","GRN","2790.0","","8215.0",""
"CA","17.0","","Garrett, Rick S. ","LBT","1696.0","","2510.0",""
"CA","17.0","","Hartley, Scott R. ","NL","662.0","","996.0",""
"CA","17.0","","Dooley, Carole ","R","6495.0","","",""
"CA","17.0","","Engler, Clint ","R","21258.0","","51557.0",""
"CA","17.0","","Roberts, Rob ","R","11467.0","","",""
"CA","17.0","","Fenton, Larry ","REF","1152.0","","2263.0",""
"CA","18.0","(I)","Condit, Gary A. ","D","80543.0","","121003.0",""
"CA","18.0","","McAfee, Rodger ","D","6142.0","","",""
"CA","18.0","","Riskin, Page Roth ","NL","1262.0","","2860.0",""
"CA","18.0","","Wilson, Steve R. ","R","35335.0","","56465.0",""
"CA","19.0","","Kaiser, Edmon V. ","AIP","1147.0","","1266.0",""
"CA","19.0","","Hernandez, John S. ","D","15647.0","","",""
"CA","19.0","","Rosenberg, Dan ","D","33921.0","","70578.0",""
"CA","19.0","","Taylor, Elizabeth ","LBT","3256.0","","4264.0",""
"CA","19.0","","Miller, Bob ","NL","1220.0","","1990.0",""
"CA","19.0","(I)","Radanovich, George ","R","109723.0","","144517.0",""
"CA","20.0","(I)","Dooley, Cal ","D","43608.0","","66235.0",""
"CA","20.0","","Kriegbaum, Arnold ","LBT","1144.0","","1320.0",""
"CA","20.0","","Ruehlig, Walter Kenneth ","NL","999.0","","1416.0",""
"CA","20.0","","Rodriguez, Rich ","R","38661.0","","57563.0",""
"CA","21.0","","Martinez, Pedro ""Pete"" Jr.","D","29511.0","","49318.0",""
"CA","21.0","","Manion, James R. S. ","LBT","5430.0","","7243.0",""
"CA","21.0","(I)","Thomas, Bill ","R","98088.0","","142539.0",""
"CA","22.0","(I)","Capps, Lois ","D","105850.0","","135538.0",""
"CA","22.0","","Furcinite, Joe ","LBT","1462.0","","2060.0",""
"CA","22.0","","Aguirre, J. Carlos ","NL","1244.0","","1888.0",""
"CA","22.0","","Rowe, Allen ","R","8385.0","","",""
"CA","22.0","","Stoker, Mike ","R","73256.0","","113094.0",""
"CA","22.0","","Porter, Richard D. ""Dick"" ","REF","1330.0","","2490.0",""
"CA","23.0","","Case, Michael ","D","36221.0","","89918.0",""
"CA","23.0","","Goldberg, Albert Maxwell ","D","8786.0","","",""
"CA","23.0","","Peebles, Roger ","LBT","2994.0","","3708.0",""
"CA","23.0","","Hospodar, Stephen P. ","NL","1247.0","","1456.0",""
"CA","23.0","(I)","Gallegly, Elton ","R","92010.0","","119479.0",""
"CA","23.0","","Savitch, Cary ","REF","4306.0","","6473.0",""
"CA","24.0","(I)","Sherman, Brad ","D","99236.0","","155398.0",""
"CA","24.0","","Kennedy, John M.","W(D)","2.0","","",""
"CA","24.0","","Ros, Juan Carlos ","LBT","4981.0","","6966.0",""
"CA","24.0","","Cuddehe, Michael ","NL","1884.0","","2911.0",""
"CA","24.0","","Doyle, Jerry ","R","43762.0","","70169.0",""
"CA","25.0","","Gold, Sid ","D","39748.0","","73921.0",""
"CA","25.0","","Acker, Bruce R. ","LBT","4103.0","","7219.0",""
"CA","25.0","","Small, Mews ","NL","1896.0","","3010.0",""
"CA","25.0","(I)","McKeon, Howard P. ""Buck"" ","R","92342.0","","138628.0",""
"CA","25.0","","Meyers, Hal Brent ","R","7842.0","","",""
"CA","26.0","(I)","Berman, Howard L. ","D","60896.0","","96500.0",""
"CA","26.0","","Farley, Bill ","LBT","8190.0","","13052.0",""
"CA","26.0","","Cossak, David L. ","NL","2887.0","","5229.0",""
"CA","26.0","","Edwards, Robert","W","","","5.0",""
"CA","27.0","","Schiff, Adam ","D","70449.0","","113708.0",""
"CA","27.0","","Brown, Ted ","LBT","2938.0","","3675.0",""
"CA","27.0","","Hospodar, Miriam R. ","NL","2799.0","","3873.0",""
"CA","27.0","(I)","Rogan, James E. ","R","68179.0","","94518.0",""
"CA","28.0","","Haytas, Joe ""Jay"" ","AIP","1759.0","","1932.0",""
"CA","28.0","","Nelson, Janice M. ","D","47971.0","","81804.0",""
"CA","28.0","","Weissbuch, Randall G. ","LBT","2327.0","","2823.0",""
"CA","28.0","","Allison, Lawrence ","NL","1358.0","","2083.0",""
"CA","28.0","(I)","Dreier, David ","R","88837.0","","116557.0",""
"CA","29.0","(I)","Waxman, Henry A. ","D","114147.0","","180295.0",""
"CA","29.0","","Anderson, Jack ","LBT","5419.0","","7944.0",""
"CA","29.0","","Currivan, Bruce ","NL","2135.0","","4178.0",""
"CA","29.0","","Scileppi, Jim ","R","27870.0","","45784.0",""
"CA","30.0","(I)","Becerra, Xavier ","D","53145.0","","83223.0",""
"CA","30.0","","Heath, Jason E. ","LBT","1922.0","","2858.0",""
"CA","30.0","","Hearne, Gary D. ","NL","1718.0","","2051.0",""
"CA","30.0","","Goss, Tony ","R","6919.0","","11788.0",""
"CA","31.0","(I)","Martinez, Matthew G. ""Marty"" ","D","22241.0","","",""
"CA","31.0","","Solis, Hilda L. ","D","48531.0","","89600.0",""
"CA","31.0","","Lieberg-Wong, Krista ","GRN","3296.0","","10294.0",""
"CA","31.0","","McGuire, Michael ","LBT","2277.0","","7138.0",""
"CA","31.0","","Griffin, Richard D. ","NL","1630.0","","5882.0",""
"CA","31.0","","Munoz, Larry","W(R)","88.0","","",""
"CA","32.0","(I)","Dixon, Julian C. ","D","84307.0","","137447.0",""
"CA","32.0","","Smith, Elisha Smitty ","D","6351.0","","",""
"CA","32.0","","Weber, Bob ","LBT","2038.0","","3875.0",""
"CA","32.0","","Jibri, Rashied ","NL","1644.0","","3281.0",""
"CA","32.0","","Williamson, Kathy ","R","13040.0","","19924.0",""
"CA","33.0","(I)","Roybal-Allard, Lucille ","D","37618.0","","60510.0",""
"CA","33.0","","Craddock, Nathan Thomas ","LBT","810.0","","1601.0",""
"CA","33.0","","Harpur, William ","NL","655.0","","1200.0",""
"CA","33.0","","Miller, Wayne ","R","5364.0","","8260.0",""
"CA","34.0","(I)","Napolitano, Grace Flores ","D","68631.0","","105980.0",""
"CA","34.0","","Simon, Julia F. ","NL","6053.0","","9262.0",""
"CA","34.0","","Canales, Robert Arthur ","R","24140.0","","33445.0",""
"CA","34.0","","Brantuk, John W.","W","","","36.0",""
"CA","35.0","","Mego, Gordon Michael ","AIP","1247.0","","1911.0",""
"CA","35.0","(I)","Waters, Maxine ","D","64176.0","","100569.0",""
"CA","35.0","","Dunstan, Rick ","NL","861.0","","1153.0",""
"CA","35.0","","McGill, Carl ","R","8898.0","","12582.0",""
"CA","36.0","","Cavuoto, James C. ","D","6423.0","","",""
"CA","36.0","","Harman, Jane ","D","63013.0","","115651.0",""
"CA","36.0","","Rastegar, Farshad ","D","2508.0","","",""
"CA","36.0","","Sherman, Daniel R. ","LBT","2635.0","","6073.0",""
"CA","36.0","","Ornati, Matt ","NL","868.0","","2264.0",""
"CA","36.0","(I)","Kuykendall, Steven T. ","R","66520.0","","111199.0",""
"CA","36.0","","Pegram, Robert T. (Bob) ","R","12653.0","","",""
"CA","36.0","","Konopka, John R. ","REF","1044.0","","3549.0",""
"CA","36.0","","Davies, William D.","W","","","395.0",""
"CA","37.0","(I)","Millender-McDonald, Juanita ","D","58646.0","","93269.0",""
"CA","37.0","","Peters, Herb ","LBT","2248.0","","3150.0",""
"CA","37.0","","Glazer, Margaret ","NL","2751.0","","4094.0",""
"CA","37.0","","Van, Vernon ","R","8048.0","","12762.0",""
"CA","38.0","","Graham, Ken ","D","7248.0","","",""
"CA","38.0","","Gruwell, Erin ","D","16062.0","","",""
"CA","38.0","","Mathews, Peter ","D","13937.0","","",""
"CA","38.0","","Schipske, Gerrie ","D","17676.0","","85498.0",""
"CA","38.0","","Neglia, Jack ","LBT","1765.0","","3614.0",""
"CA","38.0","","Blasdell-Wilkinson, Karen ","NL","1396.0","","3744.0",""
"CA","38.0","(I)","Horn, Steve ","R","59209.0","","87266.0",""
"CA","39.0","","Kanel, Gill G. ","D","35816.0","","64938.0",""
"CA","39.0","","Gann, Keith D. ","LBT","3576.0","","5275.0",""
"CA","39.0","","Jevning, Ron ","NL","3865.0","","6597.0",""
"CA","39.0","(I)","Royce, Ed ","R","91626.0","","129294.0",""
"CA","40.0","","Lindberg, Jay ","LBT","8155.0","","18924.0",""
"CA","40.0","","Schmit, Frank N. ","NL","8687.0","","19029.0",""
"CA","40.0","(I)","Lewis, Jerry ","R","86315.0","","151069.0",""
"CA","40.0","","Martinez, Ron Dwayne","W(D)","92.0","","",""
"CA","41.0","","Favila, Rodolfo G. ","D","32528.0","","66361.0",""
"CA","41.0","","Kramer, David ","NL","3519.0","","6560.0",""
"CA","41.0","","Ma, Tony (Anthony) ","R","7140.0","","",""
"CA","41.0","(I)","Miller, Gary G. ","R","60953.0","","104695.0",""
"CA","42.0","(I)","Baca, Joe ","D","49234.0","","90585.0",""
"CA","42.0","","Ballard, John ""Scott"" ","LBT","2066.0","","4059.0",""
"CA","42.0","","Hartley, Gwyn ","NL","1855.0","","3694.0",""
"CA","42.0","","Kim, Jay ","R","7119.0","","",""
"CA","42.0","","Pirozzi, Elia ","R","27947.0","","53239.0",""
"CA","43.0","","Reed, Bill ","LBT","9627.0","","29755.0",""
"CA","43.0","","Adam, Nat ","NL","6956.0","","20376.0",""
"CA","43.0","(I)","Calvert, Ken ","R","73660.0","","140201.0",""
"CA","43.0","","Collen, Martin ","R","31907.0","","",""
"CA","43.0","","Jafri, Khalid ","R","4448.0","","",""
"CA","43.0","","Vandenberg, Louis John","W(D)","290.0","","",""
"CA","43.0","","James, Cary","W(D)","148.0","","",""
"CA","43.0","","Caudle, Herre","W(D)","35.0","","",""
"CA","44.0","","Gordon, Jon ","D","9765.0","","",""
"CA","44.0","","Harney, Tom ","D","13170.0","","",""
"CA","44.0","","Oden, Ron ","D","20079.0","","79302.0",""
"CA","44.0","","Wofford, Doug ","D","6124.0","","",""
"CA","44.0","","Meuer, Jim ","NL","764.0","","2012.0",""
"CA","44.0","(I)","Bono, Mary ","R","79365.0","","123738.0",""
"CA","44.0","","Mathewson, Bud ","R","9800.0","","",""
"CA","44.0","","Smith, Gene ","REF","1628.0","","4135.0",""
"CA","45.0","","Crisell, Ted ","D","37755.0","","71066.0",""
"CA","45.0","","Hull, Don ","LBT","4901.0","","8409.0",""
"CA","45.0","","Betton, Constance ","NL","2208.0","","3635.0",""
"CA","45.0","","Pham, Long K. ","R","10942.0","","",""
"CA","45.0","(I)","Rohrabacher, Dana ","R","89174.0","","136275.0",""
"CA","46.0","(I)","Sanchez, Loretta ","D","40031.0","","70381.0",""
"CA","46.0","","Boddie, Richard B. ","LBT","1769.0","","3159.0",""
"CA","46.0","","Engwall, Larry ","NL","1431.0","","2440.0",""
"CA","46.0","","Garber, Howard ","R","9518.0","","",""
"CA","46.0","","Tuchman, Gloria Matta ","R","16606.0","","40928.0",""
"CA","47.0","","Graham, John ","D","18913.0","","83186.0",""
"CA","47.0","","Irvine, Don ","D","16510.0","","",""
"CA","47.0","","Keysor, Jim ","D","10010.0","","",""
"CA","47.0","","Mafi, Maziar ","D","8953.0","","",""
"CA","47.0","","Nolan, David F. ","LBT","4892.0","","8081.0",""
"CA","47.0","","Adam, Iris ","NL","2619.0","","3769.0",""
"CA","47.0","(I)","Cox, Christopher ","R","134959.0","","181365.0",""
"CA","48.0","","Kouvelis, Peter ","D","20789.0","","74073.0",""
"CA","48.0","","Maguire, Richard K. ","D","13704.0","","",""
"CA","48.0","","Cobb, Joe Michael ","LBT","2511.0","","7269.0",""
"CA","48.0","","Miles, Sharon K. ","NL","2751.0","","8269.0",""
"CA","48.0","","Debow, Kim ","R","1998.0","","",""
"CA","48.0","","Dornan, Mark ","R","9534.0","","",""
"CA","48.0","","Griffith, William D. ","R","5362.0","","",""
"CA","48.0","","Issa, Darrell ","R","67732.0","","160627.0",""
"CA","48.0","","Luke, James ","R","3043.0","","",""
"CA","48.0","","Mahan, Kevin M. ","R","1584.0","","",""
"CA","48.0","","Mayerhofer, Ed ","R","753.0","","",""
"CA","48.0","","Morrow, Bill ","R","45223.0","","",""
"CA","48.0","","Snyder, Joe ","R","8480.0","","",""
"CA","48.0","","Udall, Don ","R","5258.0","","",""
"CA","48.0","","Rose, Eddie ","REF","3305.0","","11240.0",""
"CA","49.0","","Davis, Susan A. ","D","71443.0","","113400.0",""
"CA","49.0","","Ball, Doris ","LBT","3505.0","","6526.0",""
"CA","49.0","","Bhatti, Tahir I. ","NL","1738.0","","3048.0",""
"CA","49.0","(I)","Bilbray, Brian P. ","R","79473.0","","105515.0",""
"CA","50.0","(I)","Filner, Bob ","D","61742.0","","95191.0",""
"CA","50.0","","Willoughby, David A. ","LBT","1934.0","","3472.0",""
"CA","50.0","","Kendall, Leeann S. ","NL","1187.0","","2283.0",""
"CA","50.0","","Divine, Bob ","R","18339.0","","38526.0",""
"CA","50.0","","Good, James Allen ","R","3044.0","","",""
"CA","50.0","","Sorongon, Alexander ","R","5420.0","","",""
"CA","51.0","","Barraza, George ""Jorge"" ","D","50245.0","","81408.0",""
"CA","51.0","","Muhe, Daniel L. ","LBT","5103.0","","7159.0",""
"CA","51.0","","Bourdette, Eric Hunter ","NL","4858.0","","6941.0",""
"CA","51.0","(I)","Cunningham, Randy ""Duke"" ","R","126038.0","","172291.0",""
"CA","52.0","","Barkacs, Craig ","D","36715.0","","63537.0",""
"CA","52.0","","Benoit, Michael ","LBT","4408.0","","5995.0",""
"CA","52.0","","Sherman, Robert A. ","NL","1455.0","","2117.0",""
"CA","52.0","(I)","Hunter, Duncan ","R","103667.0","","131345.0",""
"CO","1.0","(I)","DeGette, Diana","D","16742.0","","141831.0",""
"CO","1.0","","Combs, Richard","LBT","","","5852.0",""
"CO","1.0","","Thomas, Jesse L.","R","7249.0","","56291.0",""
"CO","1.0","","Nasser, Lyle","REF","","","2452.0",""
"CO","1.0","","Schaefer, Paul","W","","","3.0",""
"CO","1.0","","Swing, Gary W.","W","","","5.0",""
"CO","2.0","(I)","Udall, Mark","D","17388.0","","155725.0",""
"CO","2.0","","Forthofer, Ronald N.","GRN","","","12398.0",""
"CO","2.0","","Baker, David Michael","LBT","","","5655.0",""
"CO","2.0","","Cox, Carolyn","R","8537.0","","109338.0",""
"CO","2.0","","Johnson, Larry E.","R","7390.0","","",""
"CO","2.0","","Hume, Sandy","W(R)","987.0","","",""
"CO","2.0","","Ryan, David L.","W(R)","40.0","","",""
"CO","3.0","","Imrie, Curtis","D","9517.0","","87921.0",""
"CO","3.0","","Sakson, Drew","LBT","","","9982.0",""
"CO","3.0","(I)","McInnis, Scott","R","22873.0","","199204.0",""
"CO","3.0","","Good, Victor A.","REF","","","5433.0",""
"CO","4.0","","Hanks, Leslie J.","AMC","","","9955.0",""
"CO","4.0","","Baker, Kordon L.","LBT","","","19713.0",""
"CO","4.0","","Ward, Dan Sewell","NL","","","19721.0",""
"CO","4.0","(I)","Schaffer, Bob","R","20938.0","","209078.0",""
"CO","4.0","","Swartz, David A.","W","","","4539.0",""
"CO","5.0","","Kantor, Kerry","LBT","","","37719.0",""
"CO","5.0","","MacKenzie, Randy","NL","","","15260.0",""
"CO","5.0","(I)","Hefley, Joel","R","33121.0","","253330.0",""
"CO","6.0","","Heckman, John","CPP","","","3614.0",""
"CO","6.0","","Toltz, Kenneth A.","D","12254.0","","110568.0",""
"CO","6.0","","Katz, Adam D.","LBT","","","6885.0",""
"CO","6.0","(I)","Tancredo, Tom","R","27756.0","","141410.0",""
"CT","1.0","(I)","Larson, John B.","D","*","","151932.0",""
"CT","1.0","","Backlund, Bob","R","*","","59331.0",""
"CT","2.0","","Simmons, Rob","Combined","","","","114380.0"
"CT","2.0","(I)","Gejdenson, Sam","D","*","","111520.0",""
"CT","2.0","","Ondusko, Dianne Guenetta","D","","","",""
"CT","2.0","","Simmons, Rob","IDP","","","4141.0",""
"CT","2.0","","Simmons, Rob","R","*","","110239.0",""
