"State","Democratic","Republican","Other","Democratic General","Republican General","Other General"
"AL","94772.0","161589.0","","718367.0","1120903.0","15998.0"
"AK","68131.0","105987.0","6690.0","142560.0","158939.0","15479.0"
"AS","","","","7499.0","4350.0","570.0"
"AZ","248758.0","324921.0","1270.0","1055305.0","1021798.0","78591.0"
"AR","","","","415481.0","215196.0","156516.0"
"CA","1951536.0","1446444.0","10582.0","7377725.0","4515372.0","428982.0"
"CO","196684.0","239201.0","","1259768.0","990870.0","33293.0"
"CT","14100.0","","","908761.0","504785.0","113853.0"
"DE","64997.0","","","146434.0","235437.0","3586.0"
"DC","39681.0","630.0","202.0","228376.0","","19095.0"
"FL","252351.0","290167.0","","3434831.0","3792167.0","194174.0"
"GA","446770.0","379373.0","","1858090.0","1796549.0","309.0"
"GU","11645.0","292.0","","28247.0","","884.0"
"HI","149962.0","25838.0","2085.0","319956.0","82540.0","15335.0"
"ID","36101.0","126573.0","","259776.0","377464.0","612.0"
"IL","1654261.0","706778.0","1069.0","3176203.0","1961173.0","110819.0"
"IN","1032659.0","380838.0","","1388963.0","1240577.0","47310.0"
"IA","91836.0","72664.0","","759460.0","698241.0","25464.0"
"KS","88854.0","226145.0","","470031.0","690005.0","48266.0"
"KY","104107.0","102363.0","","761209.0","955182.0","33449.0"
"LA","511885.0","149704.0","","398474.0","594306.0","53396.0"
"ME","83255.0","53143.0","","431903.0","278198.0",""
"MD","753753.0","264336.0","","1677238.0","762539.0","58175.0"
"MA","406740.0","21373.0","313.0","2245778.0","318461.0","40875.0"
"MI","534477.0","541454.0","","2516640.0","2114293.0","179757.0"
"MN","121332.0","82278.0","3625.0","1612480.0","1069015.0","121119.0"
"MS","425494.0","195082.0","","731805.0","527330.0","5612.0"
"MO","329482.0","337870.0","1365.0","1413016.0","1313018.0","95450.0"
"MT","142542.0","90492.0","","155930.0","308470.0","16500.0"
"NE","76106.0","136305.0","2162.0","264885.0","510513.0",""
"NV","47911.0","89597.0","","457320.0","383548.0","67386.0"
"NH","44185.0","68134.0","","364767.0","294560.0","15648.0"
"NJ","278053.0","171072.0","","1911827.0","1461820.0","64333.0"
"NM","154704.0","109124.0","","457135.0","321083.0","36348.0"
"NY","117124.0","27455.0","","3858024.0","1800093.0","732399.0"
"NC","501886.0","221295.0","","2293971.0","1901517.0","19605.0"
"ND","43293.0","46785.0","21.0","194577.0","119388.0",""
"MP","","","","307.0","2117.0","7737.0"
"OH","1771451.0","919409.0","","2752111.0","2491498.0","130731.0"
"OK","119342.0","36588.0","","503614.0","802530.0","30783.0"
"OR","532185.0","230531.0","","1036171.0","435920.0","210418.0"
"PA","1802359.0","700045.0","","3209168.0","2520805.0","61311.0"
"PR","","","739453.0","","","1908125.0"
"RI","45511.0","1074.0","","303670.0","118773.0","15789.0"
"SC","61867.0","169524.0","","919529.0","939703.0","14658.0"
"SD","","","","256041.0","122966.0",""
"TN","213212.0","217248.0","1.0","1195542.0","977677.0","128666.0"
"TX","1697671.0","1142075.0","","2979398.0","4203917.0","345307.0"
"UT","","47873.0","","393761.0","503917.0","39161.0"
"VT","22299.0","1209.0","432.0","248203.0","","49948.0"
"VI","10853.0","","","28153.0","","69.0"
"VA","46970.0","24095.0","","1852788.0","1590687.0","51880.0"
"WA","799118.0","579040.0","23220.0","1725316.0","1189147.0",""
"WV","301832.0","58392.0","","432075.0","213339.0","146.0"
"WI","124625.0","144137.0","854.0","1383536.0","1274987.0","116651.0"
"WY","24888.0","71823.0","204.0","106758.0","131244.0","11393.0"
"Total:","18693610.0","11538365.0","793548.0","65028953.0","51958927.0","5971961.0"
"","","","","","",""
"","","31025523.0","","","122959841.0",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"Notes on Charts","","","","","",""
"","","","","","",""
"*  Runoff election vote totals have been included with the primary election totals.  (For the U.S. Senate, a runoff election was held in Georgia.  For the U.S. House of Representatives, runoff elections were held in Alabama, Louisiana, Mississippi, South Carolina and Texas.)  For Georgia and Louisiana, the December election vote totals have been included with the general election totals.","","","","","",""
"","","","","","",""
"The following three situations account for blank spaces in the charts and should be considered when making comparisons or drawing conclusions about the vote totals.","","","","","",""
"","","","","","",""
"*  In some states, i.e., Connecticut, Utah and Virginia, political parties may nominate general election candidates by party convention, rather than by primary election.","","","","","",""
"","","","","","",""
"*  In some states, there were unopposed candidates whose names did not appear on a ballot and therefore received no votes.","","","","","",""
"","","","","","",""
"*  33 states had regularly scheduled U.S. Senate elections in 2008.","","","","","",""
