"#","STATE","STATE ABBREVIATION","DISTRICT","FEC ID","INCUMBENT INDICATOR","FIRST NAME","LAST NAME","LAST NAME, FIRST","TOTAL VOTES","PARTY","PRIMARY","PRIMARY %","RUNOFF","RUNOFF %","GENERAL","GENERAL %","GE RUNOFF","GE RUNOFF %","COMBINED GE PARTY TOTALS (NY, SC)","COMBINED % (NY, SC)","Notes (See Endnotes Tab)"
"47.0","Alaska","AK","H","","","","","","House Votes:","","129145.0","","","","234645.0","","","","","",""
"48.0","American Samoa","AS","00","H0AS00018","(I)","Eni F.H. Faleomavaega","Hunkin","Hunkin, Eni F.H. Faleomavaega","","DEM","n/a","","","","5195.0","0.4708601468322306","","","","","1.0"
"49.0","American Samoa","AS","00","H4AS00036","","Amata Aumua","Coleman","Coleman, Amata Aumua","","REP","n/a","","","","4493.0","0.40723284691380407","","","","","1.0"
"50.0","American Samoa","AS","00","H6AS00023","","Muavaefaatasi Ae, Jr.","Ae","Ae, Muavaefaatasi Ae, Jr.","","IND","n/a","","","","1345.0","0.12190700625396537","","","","","1.0"
"51.0","American Samoa","AS","00","","","","","","District Votes:","","","","","","11033.0","","","","","","1.0"
"52.0","American Samoa","AS","H","","","","","","House Votes:","","","","","","11033.0","","","","","","1.0"
"53.0","Arizona","AZ","S","S4AZ00030","(I)","Jon ","Kyl","Kyl, Jon ","","REP","297636.0","0.9994795007236619","","","814398.0","0.5334081748409399","","","","",""
"54.0","Arizona","AZ","S","S6AZ00159","","Michael","Aloisi","Aloisi, Michael","","W(REP)","155.0","0.0005204992763381029","","","","","","","","",""
"55.0","Arizona","AZ","S","","","","","","Party Votes:","REP","297791.0","","","","","","","","","",""
"56.0","Arizona","AZ","S","S6AZ00142","","Jim","Pederson","Pederson, Jim","","DEM","214455.0","","","","664141.0","0.43499399390351734","","","","",""
"57.0","Arizona","AZ","S","","","","","","Party Votes:","DEM","214455.0","","","","","","","","","",""
"58.0","Arizona","AZ","S","S6AZ00175","","Richard","Mack","Mack, Richard","","LBT","3311.0","1.0","","","48231.0","0.0315899715872993","","","","",""
"59.0","Arizona","AZ","S","","","","","","Party Votes:","LBT","3311.0","","","","","","","","","",""
"60.0","Arizona","AZ","S","S6AZ00183","","Stephen the Penny Man","Baker","Baker, Stephen the Penny Man","","W","","","","","7.0","4.584806475318677e-06","","","","",""
"61.0","Arizona","AZ","S","S6AZ00191","","Ray","Caplette","Caplette, Ray","","W","","","","","5.0","3.274861768084769e-06","","","","",""
"62.0","Arizona","AZ","S","","","","","","Senate Votes:","","515557.0","","","","1526782.0","","","","","",""
"63.0","Arizona","AZ","01","H2AZ01172","(I)","Rick","Renzi","Renzi, Rick","","REP","37664.0","1.0","","","105646.0","0.5175199251490405","","","","",""
